City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Port Hedland,AU,-20.3167,118.5667,84.25,79,40,10.36,scattered clouds
79,Hirara,JP,24.8,125.2833,68.27,83,75,19.57,broken clouds
80,Chokurdakh,RU,70.6333,147.9167,-38.67,97,98,2.33,overcast clouds
81,Busselton,AU,-33.65,115.3333,51.08,60,100,8.81,overcast clouds
82,Qaanaaq,GL,77.484,-69.3632,-3.71,72,79,3.78,broken clouds
83,Alice Springs,AU,-23.7,133.8833,80.15,28,26,10.36,scattered clouds
84,Moba,CN,33.2288,105.0179,27.39,90,93,3.87,overcast clouds
85,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,90,18.41,light snow
86,Tieling,CN,42.2931,123.8414,17.69,47,0,7.65,clear sky
87,Yanam,IN,16.7333,82.2167,74.1,81,70,8.25,light rain
88,Manzhouli,CN,49.6,117.4333,4.75,90,98,4.38,overcast clouds
89,Antofagasta,CL,-23.65,-70.4,65.48,76,41,6.04,scattered clouds
90,Talcahuano,CL,-36.7167,-73.1167,60.48,59,0,18.41,clear sky
91,Palora,EC,-1.7,-77.9333,80.58,97,94,1.57,light rain
92,Victor Harbor,AU,-35.5667,138.6167,77.2,76,59,1.99,broken clouds
93,Butaritari,KI,3.0707,172.7902,82.62,71,74,16.37,broken clouds
94,Upernavik,GL,72.7868,-56.1549,6.24,92,100,10.6,overcast clouds
95,Sistranda,NO,63.7256,8.834,40.89,77,100,10.45,light rain
96,Doha,QA,25.2867,51.5333,66.18,72,0,9.22,clear sky
97,Lasa,IT,46.6166,10.7002,27.63,93,60,6.73,broken clouds
98,Santa Lucia,ES,27.9117,-15.5407,56.52,75,20,11.5,few clouds
99,Kapaa,US,22.0752,-159.319,80.92,72,75,3.0,broken clouds
100,Cabo San Lucas,MX,22.8909,-109.9124,79.52,66,20,4.61,few clouds
101,Kuusamo,FI,65.9667,29.1833,23.04,93,90,1.14,light shower snow
102,Broome,US,42.2506,-75.833,40.6,56,1,1.99,clear sky
103,Ituporanga,BR,-27.4144,-49.6025,68.68,96,67,2.04,broken clouds
104,San Cristobal,VE,7.7669,-72.225,75.38,82,70,4.0,broken clouds
105,Huarmey,PE,-10.0681,-78.1522,70.47,78,82,8.5,broken clouds
106,Chuy,UY,-33.6971,-53.4616,68.59,76,0,13.0,clear sky
107,Norrtalje,SE,59.758,18.705,33.08,95,88,3.87,overcast clouds
108,Balykshi,KZ,47.0667,51.8667,17.6,79,0,15.66,clear sky
109,Aragarcas,BR,-15.8975,-52.2508,74.75,93,100,1.83,overcast clouds
110,Puerto Escondido,MX,15.85,-97.0667,82.87,70,3,5.12,clear sky
111,Luderitz,NA,-26.6481,15.1594,61.63,83,2,10.78,clear sky
112,Lodingen,NO,68.414,15.9951,33.06,86,99,3.24,light snow
113,Husavik,IS,66.0449,-17.3389,40.91,79,95,13.69,overcast clouds
114,Kodiak,US,57.79,-152.4072,14.29,57,1,34.52,clear sky
115,Bredasdorp,ZA,-34.5322,20.0403,60.28,86,100,3.74,overcast clouds
116,Lake Charles,US,30.2131,-93.2044,62.58,38,1,5.75,clear sky
117,Khatanga,RU,71.9667,102.5,-51.12,99,80,3.85,broken clouds
118,Nikolskoye,RU,59.7035,30.7861,24.4,99,100,3.29,light snow
119,Marzuq,YE,14.4,46.4667,55.98,45,0,4.74,clear sky
120,Adrar,MR,20.5022,-10.0711,67.35,16,43,10.71,scattered clouds
121,Kruisfontein,ZA,-34.0033,24.7314,68.88,94,100,8.72,overcast clouds
122,Wilmington,US,34.2257,-77.9447,53.51,56,1,6.91,clear sky
123,Kupang,ID,-10.1667,123.5833,79.38,100,20,1.14,few clouds
124,Castro,BR,-24.7911,-50.0119,71.85,49,92,4.38,overcast clouds
125,Atar,MR,20.5169,-13.0499,70.83,16,82,8.68,broken clouds
126,Naze,JP,28.3667,129.4833,59.92,69,81,18.23,broken clouds
127,Torbay,CA,47.6666,-52.7314,50.77,94,90,33.38,light intensity drizzle
128,Shingu,JP,33.7333,135.9833,47.59,69,5,6.06,clear sky
129,Chabahar,IR,25.2919,60.643,70.84,53,5,3.89,clear sky
130,Sitka,US,57.0531,-135.33,35.49,69,90,8.05,overcast clouds
131,Fairview,US,40.8126,-73.999,46.42,44,1,0.0,clear sky
132,Makaryev,RU,57.8797,43.8069,13.73,93,96,6.33,overcast clouds
133,San Quintin,MX,30.4833,-115.95,62.2,60,2,10.18,clear sky
134,Albox,ES,37.3886,-2.1495,53.65,92,3,1.5,clear sky
135,Saldanha,ZA,-33.0117,17.9442,62.65,90,100,11.86,overcast clouds
136,Kavaratti,IN,10.5669,72.642,81.09,73,91,2.98,overcast clouds
137,Samarai,PG,-10.6167,150.6667,83.59,75,100,11.1,overcast clouds
138,Vitim,RU,59.4511,112.5578,-5.6,97,100,5.37,overcast clouds
139,San Juan Ixcoy,GT,15.5997,-91.4453,63.45,87,55,4.79,broken clouds
140,Puerto Ayora,EC,-0.7393,-90.3518,75.16,92,99,7.74,overcast clouds
141,Tambacounda,SN,13.7539,-13.7586,80.65,26,0,0.0,clear sky
142,Poum,NC,-20.2333,164.0167,77.67,91,100,14.36,heavy intensity rain
143,Kota Kinabalu,MY,5.9749,116.0724,76.98,94,20,4.61,few clouds
144,Ribeira Brava,PT,32.65,-17.0667,64.71,79,48,1.74,scattered clouds
145,Deputatskiy,RU,69.3,139.9,-33.41,100,97,1.32,overcast clouds
146,Shimoda,JP,34.6667,138.95,53.1,61,0,19.84,clear sky
147,Sokolo,ML,14.7328,-6.1219,78.93,11,66,7.78,broken clouds
148,Tasiilaq,GL,65.6145,-37.6368,41.16,80,100,16.96,light rain
149,Lompoc,US,34.6391,-120.4579,65.08,57,1,14.97,clear sky
150,Lavrentiya,RU,65.5833,-171.0,-14.46,88,16,3.27,few clouds
151,Ancud,CL,-41.8697,-73.8203,58.42,69,38,9.35,scattered clouds
152,Pisco,PE,-13.7,-76.2167,69.85,83,20,18.41,few clouds
153,Tezu,IN,27.9167,96.1667,58.15,53,29,3.71,scattered clouds
154,Norman Wells,CA,65.282,-126.8329,-2.16,71,75,12.66,light snow
155,Tilichiki,RU,60.4667,166.1,-7.87,81,100,17.67,overcast clouds
156,Cidreira,BR,-30.1811,-50.2056,71.49,87,1,13.94,clear sky
157,Bandipur,NP,27.9333,84.4167,43.29,70,2,2.44,clear sky
158,San Andres,CO,12.5847,-81.7006,82.42,78,75,8.05,broken clouds
159,Port Blair,IN,11.6667,92.75,79.11,73,66,12.84,broken clouds
160,Batagay,RU,67.6333,134.6333,-42.84,100,93,1.28,overcast clouds
161,Abengourou,CI,6.7297,-3.4964,77.04,82,78,3.76,broken clouds
162,Minot,US,48.2325,-101.2963,43.02,56,40,13.8,scattered clouds
163,Brae,GB,60.3964,-1.353,48.11,82,100,23.71,overcast clouds
164,Isiro,CD,2.7739,27.616,66.63,56,99,1.61,overcast clouds
165,Saint-Georges,GD,12.0564,-61.7485,76.68,88,75,9.22,broken clouds
166,Kidal,ML,18.4411,1.4078,72.82,11,95,7.81,overcast clouds
167,Eydhafushi,MV,5.1033,73.0708,81.84,77,99,14.63,overcast clouds
168,Quincy,US,42.2529,-71.0023,43.25,47,1,5.01,clear sky
169,Saskylakh,RU,71.9167,114.0833,-44.9,100,70,3.33,broken clouds
170,Juneau,US,58.3019,-134.4197,26.65,89,90,0.0,light snow
171,Waounde,SN,15.2637,-12.8682,78.84,10,82,8.1,broken clouds
172,Ust-Nera,RU,64.5667,143.2,-40.72,100,85,0.47,overcast clouds
173,Mwinilunga,ZM,-11.7358,24.4293,64.9,84,95,3.15,overcast clouds
174,Saint George,US,37.1041,-113.5841,61.27,37,1,3.0,clear sky
175,Guia Lopes Da Laguna,BR,-21.4578,-56.1142,70.54,96,95,6.49,overcast clouds
176,Churapcha,RU,62.0025,132.4325,-28.84,99,100,3.47,overcast clouds
177,Alofi,NU,-19.0595,-169.9187,82.29,69,7,11.5,clear sky
178,Akdagmadeni,TR,39.6603,35.8836,39.2,52,6,5.21,clear sky
179,Sturgeon Falls,CA,46.3646,-79.9326,39.09,73,64,18.37,broken clouds
180,Ila,NO,63.4305,10.3705,40.95,84,85,3.18,overcast clouds
181,Bo Rai,TH,12.5728,102.5371,68.14,88,21,7.49,few clouds
182,Nuuk,GL,64.1835,-51.7216,20.01,79,20,17.27,few clouds
183,Centralia,US,46.7162,-122.9543,40.98,82,100,1.01,overcast clouds
184,Porbandar,IN,21.6422,69.6093,71.94,51,0,9.62,clear sky
185,Maine-Soroa,NE,13.2114,12.0241,71.11,18,100,8.7,overcast clouds
186,Novikovo,RU,51.1537,37.8879,30.45,57,100,11.54,overcast clouds
187,Manali,IN,13.1667,80.2667,80.08,89,48,10.13,scattered clouds
188,Salalah,OM,17.0151,54.0924,73.49,38,0,9.22,clear sky
189,Vestmannaeyjar,IS,63.4427,-20.2734,43.84,70,99,20.62,overcast clouds
190,Aksay,RU,47.26,39.87,30.58,64,100,16.75,overcast clouds
191,Khatima,IN,28.9167,79.9667,53.6,55,73,3.31,broken clouds
192,Labuhan,ID,-6.8844,112.2051,78.58,86,95,9.13,overcast clouds
193,Koumac,NC,-20.5667,164.2833,76.42,91,100,6.51,moderate rain
194,Cape Coast,GH,5.1053,-1.2466,80.73,85,94,6.96,overcast clouds
195,Saint-Leu,RE,-21.15,55.2833,76.06,74,68,6.89,broken clouds
196,Terrace,CA,54.5163,-128.6035,27.43,100,75,13.8,broken clouds
197,Necochea,AR,-38.5473,-58.7368,68.04,61,85,7.54,overcast clouds
198,Richards Bay,ZA,-28.783,32.0377,75.0,70,100,7.61,overcast clouds
199,Baracoa,CU,20.3467,-74.4958,77.29,83,20,10.56,few clouds
200,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.14,79,22,11.12,few clouds
201,Nanortalik,GL,60.1432,-45.2371,21.69,78,27,4.99,scattered clouds
202,Muyezerskiy,RU,63.9333,31.65,19.2,97,100,4.21,light snow
203,San Patricio,US,28.017,-97.5169,68.09,35,0,8.25,clear sky
204,Manglaur,IN,29.8,77.8667,51.53,54,41,3.11,scattered clouds
205,Kahului,US,20.8947,-156.47,80.62,76,40,20.71,scattered clouds
206,Provideniya,RU,64.3833,-173.3,-8.64,64,0,2.24,clear sky
207,Vila Franca Do Campo,PT,37.7167,-25.4333,56.19,54,99,17.09,overcast clouds
208,Gubden,RU,42.5681,47.5658,37.76,84,37,6.91,scattered clouds
209,Bom Jesus,BR,-9.0744,-44.3586,77.23,78,99,2.64,overcast clouds
210,Victoria,HK,22.2855,114.1577,65.32,70,53,1.01,broken clouds
211,Honiara,SB,-9.4333,159.95,83.82,81,100,6.67,overcast clouds
212,Mandera,KE,3.9366,41.867,84.97,44,95,16.44,overcast clouds
213,Hobyo,SO,5.3505,48.5268,78.21,80,51,21.12,broken clouds
214,Terra Nova,BR,-12.3667,-40.6667,71.01,76,99,3.42,overcast clouds
215,Floresta,BR,-8.6011,-38.5686,88.2,30,85,17.74,overcast clouds
216,La Crosse,US,43.8014,-91.2396,39.76,63,1,9.22,clear sky
217,Nuevo Progreso,MX,23.1667,-97.95,72.59,49,68,1.01,broken clouds
218,Buenos Aires,AR,-34.6132,-58.3772,78.69,72,75,6.91,broken clouds
219,Fairbanks,US,64.8378,-147.7164,-7.78,69,1,3.44,light snow
220,Kochki,RU,54.3358,80.4806,3.81,96,99,7.67,overcast clouds
221,Camacha,PT,33.0833,-16.3333,60.53,88,40,2.3,scattered clouds
222,Taxisco,GT,14.0708,-90.4631,85.05,70,68,5.35,broken clouds
223,Clonakilty,IE,51.6231,-8.8706,43.81,72,89,10.2,overcast clouds
224,Arroyo,ES,41.6096,-4.7969,49.19,87,90,3.44,fog
225,Faanui,PF,-16.4833,-151.75,80.96,72,42,10.0,light rain
226,Sabang,ID,5.8933,95.3214,81.95,71,3,19.22,clear sky
227,Santa Cruz Do Capibaribe,BR,-7.9575,-36.2047,75.34,73,22,12.66,few clouds
228,Constitucion,CL,-35.3333,-72.4167,57.96,62,1,18.7,clear sky
229,Aswan,EG,24.0934,32.907,78.1,44,0,17.27,clear sky
230,Buraydah,SA,26.326,43.975,50.45,32,73,5.53,broken clouds
231,Talnakh,RU,69.4865,88.3972,-25.91,83,79,1.3,broken clouds
232,Todos Santos,MX,23.45,-110.2167,79.02,67,51,5.21,broken clouds
233,Vardo,NO,70.3705,31.1107,30.4,84,89,26.51,overcast clouds
234,Svetlyy,RU,54.675,20.1347,30.25,95,100,8.57,overcast clouds
235,Cabedelo,BR,-6.9811,-34.8339,81.27,77,12,12.91,few clouds
236,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,75,17.27,light intensity shower rain
237,Waingapu,ID,-9.6567,120.2641,81.48,78,97,1.25,overcast clouds
238,Carnarvon,AU,-24.8667,113.6333,68.07,73,3,14.97,clear sky
239,Eureka,US,40.8021,-124.1637,53.92,91,100,1.99,overcast clouds
240,Tergnier,FR,49.6561,3.3011,49.75,95,87,6.29,overcast clouds
241,Pemba,MZ,-12.974,40.5178,79.68,75,68,6.82,broken clouds
242,White Oak,US,39.2131,-84.5994,44.55,51,1,1.01,clear sky
243,Novoplatnirovskaya,RU,46.1065,39.4191,39.0,75,100,17.22,overcast clouds
244,Mombasa,KE,-4.0547,39.6636,76.46,86,6,4.03,moderate rain
245,Atuona,PF,-9.8,-139.0333,79.11,78,15,18.97,few clouds
246,Mayo,US,38.8876,-76.5119,48.15,47,1,1.01,clear sky
247,Bathsheba,BB,13.2167,-59.5167,81.21,83,75,18.41,broken clouds
248,Chapais,CA,49.7834,-74.8492,26.38,95,100,11.07,light snow
249,Ocampo,MX,21.65,-101.5,71.96,28,60,2.33,broken clouds
250,Sompeta,IN,18.9333,84.6,69.93,84,17,5.97,few clouds
251,Plettenberg Bay,ZA,-34.0527,23.3716,65.5,92,93,1.95,overcast clouds
252,Mitsamiouli,KM,-11.3847,43.2844,79.92,76,92,9.98,overcast clouds
253,Eidsvag,NO,62.7767,8.0668,37.45,77,98,9.13,overcast clouds
254,La Primavera,CO,5.4906,-70.4092,83.39,53,62,6.38,broken clouds
255,Hokitika,NZ,-42.7167,170.9667,59.34,90,100,3.49,overcast clouds
256,Ostrovnoy,RU,68.0531,39.5131,30.29,91,100,15.46,overcast clouds
257,Ulaanbaatar,MN,47.9077,106.8832,6.28,74,8,3.27,clear sky
258,Vargashi,RU,55.3556,65.8467,8.91,89,12,8.43,few clouds
259,Barreirinhas,BR,-2.7469,-42.8264,81.01,78,33,11.79,scattered clouds
260,Sungaipenuh,ID,-2.0833,101.3833,64.09,96,96,2.8,overcast clouds
261,Margate,GB,51.3813,1.3862,53.31,82,98,1.01,overcast clouds
262,Dois Vizinhos,BR,-25.7336,-53.0572,74.93,51,100,3.27,overcast clouds
263,Ponnani,IN,10.767,75.9252,74.52,82,29,8.55,scattered clouds
264,Leca Da Palmeira,PT,41.191,-8.7003,54.19,85,0,16.11,clear sky
265,Nome,US,64.5011,-165.4064,-12.93,64,1,6.91,clear sky
266,Klyuchi,RU,52.2667,79.1667,1.0,95,62,6.49,broken clouds
267,Himi,JP,36.85,136.9833,40.19,79,98,7.36,light rain
268,Gueret,FR,46.1667,1.8667,39.83,97,93,2.98,overcast clouds
269,Bijie,CN,27.3125,105.2942,38.62,94,100,3.06,overcast clouds
270,Lagoa,PT,39.05,-27.9833,57.74,53,100,22.57,overcast clouds
271,Marsh Harbour,BS,26.5412,-77.0636,76.55,77,4,11.23,clear sky
272,Tuatapere,NZ,-46.1333,167.6833,63.82,54,54,4.74,broken clouds
273,Sioux Lookout,CA,50.1001,-91.917,34.18,74,40,4.61,scattered clouds
274,Nebbi,UG,2.4783,31.0889,70.02,39,90,5.23,overcast clouds
275,Matara,LK,5.9485,80.5353,76.42,84,98,7.31,overcast clouds
276,Bethel,US,41.3712,-73.414,43.57,45,1,3.44,clear sky
277,Aberfeldy,GB,56.62,-3.8645,52.14,92,100,19.13,light rain
278,Port Hardy,CA,50.6996,-127.4199,37.4,100,75,3.44,light rain
279,Turan,VN,16.0678,108.2208,73.38,78,75,5.75,broken clouds
280,Wembley,AU,-31.9333,115.8,62.06,60,0,25.32,clear sky
281,Evensk,RU,61.95,159.2333,10.45,52,100,21.77,overcast clouds
282,Fez,MA,34.0372,-4.9998,50.11,76,0,3.44,clear sky
283,Shieli,KZ,44.1667,66.75,37.42,96,100,6.96,overcast clouds
284,De-Kastri,RU,51.4667,140.7833,19.98,89,97,12.24,light snow
285,Olavarria,AR,-36.8927,-60.3225,67.93,74,49,5.53,scattered clouds
286,Havoysund,NO,70.9963,24.6622,32.88,98,100,10.07,light snow
287,Hithadhoo,MV,-0.6,73.0833,80.83,79,100,11.1,overcast clouds
288,Hofn,IS,64.2539,-15.2082,38.86,90,100,2.3,overcast clouds
289,Port-Cartier,CA,50.0334,-66.8654,28.74,68,65,20.74,broken clouds
290,Vila Velha,BR,-20.3297,-40.2925,80.55,87,0,8.99,clear sky
291,Araouane,ML,18.9048,-3.5265,71.06,9,32,9.13,scattered clouds
292,Tuy Hoa,VN,13.0833,109.3,72.05,90,94,15.57,overcast clouds
293,Kalmunai,LK,7.4167,81.8167,77.04,89,100,6.93,overcast clouds
294,Datong,CN,40.0936,113.2914,19.83,39,0,5.32,clear sky
295,Hauterive,FR,46.0901,3.4459,43.02,92,96,2.68,overcast clouds
296,Vostok,RU,46.4856,135.8833,1.53,96,100,8.01,light snow
297,Yerbogachen,RU,61.2767,108.0108,-41.08,99,37,3.74,scattered clouds
298,Antalaha,MG,-14.9003,50.2788,72.63,90,93,6.2,light rain
299,Gondanglegi,ID,-7.7479,112.0132,76.44,90,86,6.49,overcast clouds
300,Caravelas,BR,-17.7125,-39.2481,76.62,87,51,9.08,broken clouds
301,Nhulunbuy,AU,-12.2333,136.7667,86.61,66,78,3.44,broken clouds
302,Kamenka,RU,51.3223,42.7678,17.74,66,55,12.08,broken clouds
303,Balagunan,PH,7.4922,125.5211,75.96,89,100,3.27,overcast clouds
304,Kant,IN,27.8,79.8,55.56,54,3,2.98,clear sky
305,Songjianghe,CN,42.1859,127.479,4.08,79,3,6.44,clear sky
306,Tuxtla Chico,MX,14.95,-92.1667,84.25,85,10,3.27,clear sky
307,Bundaberg,AU,-24.85,152.35,79.09,65,75,14.97,broken clouds
308,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,27.19,74,75,4.47,broken clouds
309,Cayenne,GF,4.9333,-52.3333,77.09,92,75,5.01,light rain
310,Charters Towers,AU,-20.1,146.2667,83.55,50,35,14.27,scattered clouds
311,Conceicao Do Araguaia,BR,-8.2578,-49.2647,76.41,91,100,1.66,overcast clouds
312,Sturgis,US,41.7992,-85.4192,42.84,34,1,9.22,clear sky
313,Goundam,ML,16.4145,-3.6708,76.69,12,97,7.9,overcast clouds
314,Binabalian,PH,16.4202,119.9279,79.29,75,80,11.5,broken clouds
315,Surt,LY,31.2089,16.5887,60.73,48,71,14.14,broken clouds
316,Daloa,CI,6.8774,-6.4502,75.22,65,7,3.62,clear sky
317,Katsuura,JP,35.1333,140.3,51.91,62,80,14.97,broken clouds
318,Karachi,PK,24.9056,67.0822,57.02,51,71,6.91,smoke
319,Amuntai,ID,-2.4177,115.2494,74.64,98,99,0.89,overcast clouds
320,East London,ZA,-33.0153,27.9116,71.85,95,100,7.87,light rain
321,Uruguaiana,BR,-29.7547,-57.0883,82.33,57,0,2.3,clear sky
322,Lata,PT,40.1629,-8.3327,57.61,80,12,4.34,few clouds
323,Suruc,TR,36.9761,38.425,46.6,48,100,4.03,overcast clouds
324,Akdepe,TM,42.0551,59.3788,32.09,83,74,10.71,broken clouds
325,Salekhard,RU,66.53,66.6019,-13.86,100,40,0.65,scattered clouds
326,Male,MV,4.1748,73.5089,80.55,89,75,8.05,broken clouds
327,Grindavik,IS,63.8424,-22.4338,41.47,87,75,17.27,light rain
328,Rocha,UY,-34.4833,-54.3333,70.05,74,66,8.19,broken clouds
329,Iralaya,HN,15.0,-83.2333,80.69,85,2,9.91,clear sky
330,Havre-Saint-Pierre,CA,50.2334,-63.5986,33.8,55,75,42.57,broken clouds
331,Hovd,MN,48.0056,91.6419,7.63,59,93,4.88,overcast clouds
332,Yenagoa,NG,4.9247,6.2642,80.69,82,74,5.41,broken clouds
333,Tooele,US,40.5308,-112.2983,45.25,65,1,0.0,clear sky
334,Cairns,AU,-16.9167,145.7667,92.1,65,40,8.05,scattered clouds
335,Burnie,AU,-41.0667,145.9167,62.92,64,71,11.1,broken clouds
336,Cockburn Town,TC,21.4612,-71.1419,78.76,69,40,9.22,scattered clouds
337,Tual,ID,-5.6667,132.75,84.0,74,97,10.83,overcast clouds
338,Balkhash,KZ,46.844,74.9804,28.76,96,100,4.25,light snow
339,Clyde River,CA,70.4692,-68.5914,-1.97,92,90,10.36,light snow
340,Muisne,EC,0.6,-80.0333,75.31,93,100,7.96,light rain
341,Bozdar,PK,27.1828,68.636,51.87,21,89,5.08,overcast clouds
342,Sao Filipe,CV,14.8961,-24.4956,74.89,72,91,5.7,overcast clouds
343,Andenes,NO,69.3143,16.1194,33.78,93,90,11.5,light intensity drizzle
344,Nelson Bay,AU,-32.7167,152.15,71.01,70,68,4.0,broken clouds
345,Mahibadhoo,MV,3.7833,72.9667,80.44,81,95,9.98,overcast clouds
346,Zhaotong,CN,27.3167,103.7167,37.08,90,97,2.37,overcast clouds
